#               x              rho              vx               vy               vx               pre               Bx              By                Bz
  -0.16687440E+00   0.98506750E+00   0.25570630E-01  -0.82447470E-02   0.00000000E+00   0.97523650E+00   0.98145630E+00   0.98145630E+00   0.00000000E+00
  -0.16677430E+00   0.98465590E+00   0.26278650E-01  -0.84748610E-02   0.00000000E+00   0.97455740E+00   0.98094440E+00   0.98094440E+00   0.00000000E+00
  -0.16667430E+00   0.98424440E+00   0.26986560E-01  -0.87050340E-02   0.00000000E+00   0.97387880E+00   0.98043260E+00   0.98043260E+00   0.00000000E+00
  -0.16657420E+00   0.98383320E+00   0.27694340E-01  -0.89352670E-02   0.00000000E+00   0.97320070E+00   0.97992100E+00   0.97992100E+00   0.00000000E+00
  -0.16647420E+00   0.98342210E+00   0.28402000E-01  -0.91655600E-02   0.00000000E+00   0.97252310E+00   0.97940960E+00   0.97940960E+00   0.00000000E+00
  -0.16637420E+00   0.98301120E+00   0.29109540E-01  -0.93959120E-02   0.00000000E+00   0.97184590E+00   0.97889830E+00   0.97889830E+00   0.00000000E+00
  -0.16627420E+00   0.98260050E+00   0.29816960E-01  -0.96263240E-02   0.00000000E+00   0.97116930E+00   0.97838730E+00   0.97838730E+00   0.00000000E+00
  -0.16617320E+00   0.98218560E+00   0.30531620E-01  -0.98591960E-02   0.00000000E+00   0.97048600E+00   0.97787100E+00   0.97787100E+00   0.00000000E+00
  -0.16607220E+00   0.98177100E+00   0.31246160E-01  -0.10092130E-01   0.00000000E+00   0.96980320E+00   0.97735500E+00   0.97735500E+00   0.00000000E+00
  -0.16597130E+00   0.98135650E+00   0.31960570E-01  -0.10325120E-01   0.00000000E+00   0.96912090E+00   0.97683910E+00   0.97683910E+00   0.00000000E+00
  -0.16587130E+00   0.98094640E+00   0.32667490E-01  -0.10555780E-01   0.00000000E+00   0.96844610E+00   0.97632870E+00   0.97632870E+00   0.00000000E+00
  -0.16577040E+00   0.98053230E+00   0.33381660E-01  -0.10788890E-01   0.00000000E+00   0.96776480E+00   0.97581310E+00   0.97581310E+00   0.00000000E+00
  -0.16566950E+00   0.98011830E+00   0.34095690E-01  -0.11022070E-01   0.00000000E+00   0.96708390E+00   0.97529770E+00   0.97529770E+00   0.00000000E+00
  -0.16556860E+00   0.97970450E+00   0.34809610E-01  -0.11255310E-01   0.00000000E+00   0.96640350E+00   0.97478250E+00   0.97478250E+00   0.00000000E+00
  -0.16546770E+00   0.97929090E+00   0.35523400E-01  -0.11488610E-01   0.00000000E+00   0.96572360E+00   0.97426750E+00   0.97426750E+00   0.00000000E+00
  -0.16536680E+00   0.97887750E+00   0.36237060E-01  -0.11721970E-01   0.00000000E+00   0.96504420E+00   0.97375260E+00   0.97375260E+00   0.00000000E+00
